Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
200842, 52, 0, 0.213688, 0.189883, 0.189710, 0.189710, 88.86, 99.91, 100.00
200863, 268, 0, 3.462863, 3.241413, 3.240390, 3.240390, 93.61, 99.97, 100.00
200913, 158, 0, 2.465851, 2.240899, 2.240379, 2.240379, 90.88, 99.98, 100.00
200926, 214, 0, 8.885999, 8.276888, 8.274836, 8.274836, 93.15, 99.98, 100.00
200965, 89, 0, 1.218206, 1.128140, 1.128035, 1.128035, 92.61, 99.99, 100.00
200967, 481, 0, 19.476371, 16.906853, 16.901003, 16.901003, 86.81, 99.97, 100.00
200982, 68, 0, 3.778664, 3.543792, 3.541678, 3.541678, 93.78, 99.94, 100.00
200987, 565, 0, 51.481020, 50.668150, 50.619990, 50.619990, 98.42, 99.90, 100.00
201006, 539, 0, 39.960000, 39.211396, 39.189826, 39.189815, 98.13, 99.94, 100.00
201052, 151, 0, 19.608580, 19.013050, 19.003170, 19.003160, 96.96, 99.95, 100.00
201113, 353, 0, 35.311600, 34.623300, 34.613800, 34.613800, 98.05, 99.97, 100.00
201120, 147, 0, 16.603990, 16.202590, 16.199050, 16.199050, 97.58, 99.98, 100.00
201138, 487, 0, 47.080390, 46.289170, 46.280800, 46.280800, 98.32, 99.98, 100.00
201190, 281, 0, 35.196395, 34.219027, 34.207676, 34.207676, 97.22, 99.97, 100.00
201191, 327, 0, 42.862860, 42.027160, 42.011250, 42.011250, 98.05, 99.96, 100.00
201257, 591, 0, 81.077260, 79.623850, 79.591860, 79.591860, 98.21, 99.96, 100.00
201269, 526, 0, 73.702780, 71.893450, 71.876650, 71.876650, 97.55, 99.98, 100.00
201280, 55, 0, 10.845167, 10.244290, 10.222310, 10.222310, 94.46, 99.79, 100.00
201289, 463, 0, 78.535870, 76.657580, 76.551430, 76.551430, 97.61, 99.86, 100.00
201489, 283, 0, 52.801010, 51.675260, 51.626480, 51.626480, 97.87, 99.91, 100.00
201494, 235, 0, 42.890340, 39.352100, 39.196610, 39.196610, 91.75, 99.60, 100.00
201555, 148, 0, 37.598018, 35.716989, 35.630715, 35.630715, 95.00, 99.76, 100.00
201556, 598, 0, 117.442030, 113.753420, 113.572020, 113.572020, 96.86, 99.84, 100.00
202660, 85, 0, 0.858535, 0.824706, 0.824585, 0.824585, 96.06, 99.99, 100.00
202668, 402, 0, 23.130328, 22.431970, 22.425293, 22.425293, 96.98, 99.97, 100.00
202712, 249, 0, 28.807136, 28.288125, 28.270725, 28.270725, 98.20, 99.94, 100.00
202740, 47, 0, 6.152660, 6.011160, 6.006950, 6.006950, 97.70, 99.93, 100.00
202798, 456, 0, 49.323580, 47.729080, 47.699230, 47.699230, 96.77, 99.94, 100.00
202965, 148, 0, 17.317400, 16.926300, 16.923200, 16.923200, 97.74, 99.98, 100.00
202991, 276, 0, 37.788940, 37.181630, 37.175960, 37.175960, 98.39, 99.98, 100.00
203027, 644, 0, 86.004200, 84.658600, 84.642600, 84.642600, 98.44, 99.98, 100.00
203169, 78, 0, 4.946180, 4.835040, 4.834110, 4.834110, 97.75, 99.98, 100.00
203191, 31, 0, 5.742160, 5.675680, 5.674230, 5.674230, 98.84, 99.97, 100.00
203195, 278, 0, 43.860160, 42.946380, 42.928950, 42.928950, 97.92, 99.96, 100.00
203228, 110, 0, 24.349400, 23.984300, 23.969700, 23.969700, 98.50, 99.94, 100.00
203256, 23, 0, 5.157480, 5.068270, 5.062390, 5.062390, 98.27, 99.88, 100.00
203258, 775, 0, 114.537140, 113.220700, 113.174820, 113.174820, 98.85, 99.96, 100.00
203277, 226, 0, 42.809300, 42.280600, 42.254300, 42.254300, 98.76, 99.94, 100.00
203335, 300, 0, 57.272000, 56.589400, 56.542700, 56.542700, 98.81, 99.92, 100.00
203336, 605, 0, 95.260140, 93.770790, 93.717720, 93.717720, 98.44, 99.94, 100.00
203353, 482, 0, 92.575500, 90.739000, 90.635700, 90.635700, 98.02, 99.89, 100.00
203432, 345, 0, 65.258527, 61.894210, 61.859480, 61.859480, 94.84, 99.94, 100.00
203454, 55, 0, 15.737840, 15.385900, 15.349910, 15.349910, 97.76, 99.77, 100.00
203456, 164, 0, 38.584700, 38.095100, 38.049700, 38.049700, 98.73, 99.88, 100.00
203523, 80, 0, 19.861370, 19.278560, 19.242720, 19.242720, 97.07, 99.81, 100.00
203524, 284, 0, 67.889440, 66.919760, 66.848660, 66.848660, 98.57, 99.89, 100.00
